MapUserPhysicalPagesScatter,3
WaitForSingleObject,3
CallbackReturn,3
ReadFile,9
DeviceIoControlFile,10
WriteFile,9
RemoveIoCompletion,5
ReleaseSemaphore,3
ReplyWaitReceivePort,4
ReplyPort,2
SetInformationThread,4
SetEvent,2
Close,1
QueryObject,5
QueryInformationFile,5
OpenKey,3
EnumerateValueKey,6
FindAtom,3
QueryDefaultLocale,2
QueryKey,5
QueryValueKey,6
AllocateVirtualMemory,6
QueryInformationProcess,5
WaitForMultipleObjects32,5
WriteFileGather,9
SetInformationProcess,4
CreateKey,7
FreeVirtualMemory,4
ImpersonateClientOfPort,2
ReleaseMutant,2
QueryInformationToken,5
RequestWaitReplyPort,3
QueryVirtualMemory,6
OpenThreadToken,4
QueryInformationThread,5
OpenProcess,4
SetInformationFile,5
MapViewOfSection,10
AccessCheckAndAuditAlarm,11
UnmapViewOfSection,2
ReplyWaitReceivePortEx,5
TerminateProcess,2
SetEventBoostPriority,1
ReadFileScatter,9
OpenThreadTokenEx,5
OpenProcessTokenEx,4
QueryPerformanceCounter,2
EnumerateKey,6
OpenFile,6
DelayExecution,2
QueryDirectoryFile,11
QuerySystemInformation,4
OpenSection,3
QueryTimer,5
FsControlFile,10
WriteVirtualMemory,5
CloseObjectAuditAlarm,3
DuplicateObject,7
QueryAttributesFile,2
ClearEvent,1
ReadVirtualMemory,5
OpenEvent,3
AdjustPrivilegesToken,6
DuplicateToken,6
Continue,2
QueryDefaultUILanguage,1
QueueApcThread,5
YieldExecution,0
AddAtom,3
CreateEvent,5
QueryVolumeInformationFile,5
CreateSection,7
FlushBuffersFile,2
ApphelpCacheControl,2
CreateProcessEx,9
CreateThread,8
IsProcessInJob,2
ProtectVirtualMemory,5
QuerySection,5
ResumeThread,2
TerminateThread,2
ReadRequestData,6
CreateFile,11
QueryEvent,5
WriteRequestData,6
OpenDirectoryObject,3
AccessCheckByTypeAndAuditAlarm,16
QuerySystemTime,1
WaitForMultipleObjects,5
SetInformationObject,4
CancelIoFile,2
TraceEvent,4
PowerInformation,5
SetValueKey,6
CancelTimer,2
SetTimer,7
AcceptConnectPort,6
AccessCheck,8
AccessCheckByType,11
AccessCheckByTypeResultList,11
AccessCheckByTypeResultListAndAuditAlarm,16
AccessCheckByTypeResultListAndAuditAlarmByHandle,17
AddBootEntry,2
AddDriverEntry,2
AdjustGroupsToken,6
AlertResumeThread,2
AlertThread,1
AllocateLocallyUniqueId,1
AllocateUserPhysicalPages,3
AllocateUuids,4
AreMappedFilesTheSame,2
AssignProcessToJobObject,2
CancelDeviceWakeupRequest,1
CompactKeys,2
CompareTokens,3
CompleteConnectPort,1
CompressKey,1
ConnectPort,8
CreateDebugObject,4
CreateDirectoryObject,3
CreateEventPair,3
CreateIoCompletion,4
CreateJobObject,3
CreateJobSet,3
CreateKeyedEvent,4
CreateMailslotFile,8
CreateMutant,4
CreateNamedPipeFile,14
CreatePagingFile,4
CreatePort,5
CreateProcess,8
CreateProfile,9
CreateSemaphore,5
CreateSymbolicLinkObject,4
CreateTimer,4
CreateToken,13
CreateWaitablePort,5
DebugActiveProcess,2
DebugContinue,3
DeleteAtom,1
DeleteBootEntry,1
DeleteDriverEntry,1
DeleteFile,1
DeleteKey,1
DeleteObjectAuditAlarm,3
DeleteValueKey,2
DisplayString,1
EnumerateBootEntries,2
EnumerateDriverEntries,2
EnumerateSystemEnvironmentValuesEx,3
ExtendSection,2
FilterToken,6
FlushInstructionCache,3
FlushKey,1
FlushVirtualMemory,4
FlushWriteBuffer,0
FreeUserPhysicalPages,3
